Concentration,Class,R,G,B,UV,R_minus_G,R_minus_B,R_minus_UV,G_minus_B,G_minus_UV,B_minus_UV
air,0,0.67942,1.26938,1.4301,2.12198,-0.5899599999999999,-0.7506799999999999,-1.4425600000000003,-0.16071999999999997,-0.8526000000000002,-0.6918800000000003
DI Water,1,0.62804,1.1697,1.32902,2.68584,-0.5416599999999999,-0.70098,-2.0578,-0.15932000000000013,-1.5161399999999998,-1.3568199999999997
0 ppm,2,0.63712,1.198,1.3932,2.80148,-0.5608799999999999,-0.75608,-2.1643600000000003,-0.19520000000000004,-1.6034800000000002,-1.4082800000000002
0.1 ppm,3,0.61676,1.1753,1.36494,2.80522,-0.55854,-0.7481800000000001,-2.18846,-0.18964000000000003,-1.6299199999999998,-1.4402799999999998
0.2 ppm,4,0.6242,1.19822,1.39042,2.82776,-0.5740200000000001,-0.76622,-2.20356,-0.19219999999999993,-1.62954,-1.43734
0.3 ppm,5,0.61984,1.18922,1.37878,2.82542,-0.56938,-0.75894,-2.20558,-0.18955999999999995,-1.6361999999999999,-1.44664
0.4 ppm,6,0.63426,1.2016,1.4275,2.84868,-0.56734,-0.79324,-2.2144199999999996,-0.2259,-1.6470799999999999,-1.4211799999999999
0.5 ppm,7,0.61924,1.1862,1.37926,2.82444,-0.5669599999999999,-0.7600199999999999,-2.2052,-0.19306,-1.6382400000000001,-1.4451800000000001
0.6 ppm,8,0.63016,1.19854,1.38812,2.84052,-0.5683799999999999,-0.75796,-2.21036,-0.18958000000000008,-1.6419800000000002,-1.4524000000000001
0.7 ppm,9,0.61256,1.1745,1.36888,2.8322,-0.5619400000000001,-0.7563200000000001,-2.21964,-0.19438,-1.6576999999999997,-1.4633199999999997
0.8 ppm,10,0.61248,1.16846,1.39318,2.8474,-0.55598,-0.7807000000000001,-2.23492,-0.22472000000000003,-1.6789399999999999,-1.4542199999999998
